"Category","Topic_Name","Quick_Summary_For_AI","Contact_Phone","Location_Address","Schedule_or_Hours","Pricing_or_Fee","Messenger_AI_Response_Template"
"Doctor","Dr. Nazmul Huda (ENT Specialist & Micro Ear Surgeon)","Specialist in ENT Specialist & Micro Ear Surgeon (ناک, কান ও গলা রোগ বিভাগ). Degrees: MBBS, MS (ENT), DLO. Chamber: Chuadanga Medical Center, Room Chamber #112, ENT Outdoor. Experience: 12 yrs. Treats: ","+880 1918-445566","Chuadanga Medical Center, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Nazmul Huda (ENT Specialist & Micro Ear Surgeon) sits at Chuadanga Medical Center (Room Chamber #112, ENT Outdoor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1918-445566"
"Doctor","Dr. Syeda Rawnak Jahan (Eye Specialist & Phaco Surgeon)","Specialist in Eye Specialist & Phaco Surgeon (চক্ষু রোগ বিভাগ). Degrees: MBBS, DO (Eye), FCPS (Ophthalmology). Chamber: Chuadanga Medical Center, Room Eye Clinic, 1st Floor. Experience: 14 yrs. Treats: ","+880 1719-556677","Chuadanga Medical Center, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Syeda Rawnak Jahan (Eye Specialist & Phaco Surgeon) sits at Chuadanga Medical Center (Room Eye Clinic, 1st Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1719-556677"
"Doctor","Dr. Md. Moniruzzaman (Consultant Urologist & Andrologist)","Specialist in Consultant Urologist & Andrologist (ইউরোলজি ও কিডনি সার্জারি বিভাগ). Degrees: MBBS, MS (Urology). Chamber: Chuadanga Medical Center, Room Room #305, Urology Dept. Experience: 15 yrs. Treats: ","+880 1812-667788","Chuadanga Medical Center, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1000 ৳","Dr. Md. Moniruzzaman (Consultant Urologist & Andrologist) sits at Chuadanga Medical Center (Room Room #305, Urology Dept) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1000 BDT. Serial Call: +880 1812-667788"
"Doctor","Dr. Sheikh Asaduzzaman (Senior Gastroenterologist & Endoscopist)","Specialist in Senior Gastroenterologist & Endoscopist (গ্যাস্ট্রোএন্টারোলজি ও লিভার বিভাগ). Degrees: MBBS, MD (Gastroenterology). Chamber: Chuadanga Specialized Hospital, Room Suite #201, 2nd Floor. Experience: 16 yrs. Treats: ","+880 1714-998877","Chuadanga Specialized Hospital, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1100 ৳","Dr. Sheikh Asaduzzaman (Senior Gastroenterologist & Endoscopist) sits at Chuadanga Specialized Hospital (Room Suite #201, 2nd Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1100 BDT. Serial Call: +880 1714-998877"
"Doctor","Dr. Afroza Begum (Child & Adolescent Specialist)","Specialist in Child & Adolescent Specialist (শিশু রোগ বিভাগ). Degrees: MBBS, FCPS (Pediatrics), DCH. Chamber: Chuadanga Specialized Hospital, Room Room #105, Child Care Unit. Experience: 12 yrs. Treats: ","+880 1815-887766","Chuadanga Specialized Hospital, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Afroza Begum (Child & Adolescent Specialist) sits at Chuadanga Specialized Hospital (Room Room #105, Child Care Unit) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1815-887766"
"Doctor","Dr. Md. Zakir Hossain (Spine & Bone Joint Specialist)","Specialist in Spine & Bone Joint Specialist (অর্থোপেডিক্স ও স্পাইন বিভাগ). Degrees: MBBS, MS (Ortho), Fellow Spine Surgery. Chamber: Chuadanga Specialized Hospital, Room Chamber #302, 3rd Floor. Experience: 15 yrs. Treats: ","+880 1711-776655","Chuadanga Specialized Hospital, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1000 ৳","Dr. Md. Zakir Hossain (Spine & Bone Joint Specialist) sits at Chuadanga Specialized Hospital (Room Chamber #302, 3rd Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1000 BDT. Serial Call: +880 1711-776655"
"Doctor","Dr. Rehana Chowdhury (Infertility & Gynae Specialist)","Specialist in Infertility & Gynae Specialist (স্ত্রী রোগ ও বন্ধ্যাত্ব চিকিৎসা বিভাগ). Degrees: MBBS, MS (Gynae), Fellow IVF. Chamber: Chuadanga Specialized Hospital, Room Room #102, Ground Floor. Experience: 11 yrs. Treats: ","+880 1916-665544","Chuadanga Specialized Hospital, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","900 ৳","Dr. Rehana Chowdhury (Infertility & Gynae Specialist) sits at Chuadanga Specialized Hospital (Room Room #102, Ground Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 900 BDT. Serial Call: +880 1916-665544"
"Doctor","Dr. Md. Enamul Kabir (Pulmonologist & Chest Specialist)","Specialist in Pulmonologist & Chest Specialist (বক্ষব্যাধি ও অ্যাজমা বিভাগ). Degrees: MBBS, DTCD, MD (Chest Medicine). Chamber: Chuadanga Specialized Hospital, Room Room #204, 2nd Floor. Experience: 13 yrs. Treats: ","+880 1718-554433","Chuadanga Specialized Hospital, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","900 ৳","Dr. Md. Enamul Kabir (Pulmonologist & Chest Specialist) sits at Chuadanga Specialized Hospital (Room Room #204, 2nd Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 900 BDT. Serial Call: +880 1718-554433"
"Doctor","Dr. Shahriar Ahmed (Consultant Nephrologist)","Specialist in Consultant Nephrologist (নেফ্রোলজি ও কিডনি রোগ বিভাগ). Degrees: MBBS, MD (Nephrology). Chamber: Chuadanga Specialized Hospital, Room Kidney Dialysis Unit, 4th Floor. Experience: 10 yrs. Treats: ","+880 1819-443322","Chuadanga Specialized Hospital, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","1000 ৳","Dr. Shahriar Ahmed (Consultant Nephrologist) sits at Chuadanga Specialized Hospital (Room Kidney Dialysis Unit, 4th Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 1000 BDT. Serial Call: +880 1819-443322"
"Doctor","Dr. Md. Motiur Rahman (Diabetologist & General Physician)","Specialist in Diabetologist & General Physician (মেডিসিন ও ডায়াবেটিস বিভাগ). Degrees: MBBS, CCD (BIRDEM), PGT (Medicine). Chamber: Alamdanga Health Care Clinic, Room Room #101, Outdoor Chamber. Experience: 14 yrs. Treats: ","+880 1712-332211","Alamdanga Health Care Clinic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","700 ৳","Dr. Md. Motiur Rahman (Diabetologist & General Physician) sits at Alamdanga Health Care Clinic (Room Room #101, Outdoor Chamber) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 700 BDT. Serial Call: +880 1712-332211"
"Doctor","Dr. Tahmina Akter (Maternal & Women Health Specialist)","Specialist in Maternal & Women Health Specialist (স্ত্রী ও প্রসূতি সেবা বিভাগ). Degrees: MBBS, DGO (Gynae). Chamber: Alamdanga Health Care Clinic, Room Room #103, Maternity Block. Experience: 10 yrs. Treats: ","+880 1813-221100","Alamdanga Health Care Clinic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","700 ৳","Dr. Tahmina Akter (Maternal & Women Health Specialist) sits at Alamdanga Health Care Clinic (Room Room #103, Maternity Block) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 700 BDT. Serial Call: +880 1813-221100"
"Doctor","Dr. Md. Saiful Islam (Pediatrician & Child Health Specialist)","Specialist in Pediatrician & Child Health Specialist (শিশু স্বাস্থ্য বিভাগ). Degrees: MBBS, DCH (Child Health). Chamber: Alamdanga Health Care Clinic, Room Room #102, Child Outdoor. Experience: 9 yrs. Treats: ","+880 1914-110099","Alamdanga Health Care Clinic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","700 ৳","Dr. Md. Saiful Islam (Pediatrician & Child Health Specialist) sits at Alamdanga Health Care Clinic (Room Room #102, Child Outdoor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 700 BDT. Serial Call: +880 1914-110099"
"Doctor","Dr. Golam Sarwar (Consultant General Surgeon)","Specialist in Consultant General Surgeon (জেনারেল সার্জারি বিভাগ). Degrees: MBBS, FCPS (Surgery). Chamber: Alamdanga Health Care Clinic, Room Minor OT Room, 1st Floor. Experience: 12 yrs. Treats: ","+880 1715-009988","Alamdanga Health Care Clinic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Golam Sarwar (Consultant General Surgeon) sits at Alamdanga Health Care Clinic (Room Minor OT Room, 1st Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1715-009988"
"Doctor","Dr. Rumana Parvin (Physiotherapy & Pain Specialist)","Specialist in Physiotherapy & Pain Specialist (ফিজিকেল মেডিসিন ও পেইন কেয়ার বিভাগ). Degrees: MBBS, FCPS (Physical Medicine). Chamber: Alamdanga Health Care Clinic, Room Physiotherapy Unit, Ground Floor. Experience: 11 yrs. Treats: ","+880 1816-998877","Alamdanga Health Care Clinic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Rumana Parvin (Physiotherapy & Pain Specialist) sits at Alamdanga Health Care Clinic (Room Physiotherapy Unit, Ground Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1816-998877"
"Doctor","Dr. Md. Imran Hossain (Dental Surgeon & Implantologist)","Specialist in Dental Surgeon & Implantologist (ডেন্টাল ও মুখরোগ বিভাগ). Degrees: BDS, MS (Oral Surgery). Chamber: Alamdanga Health Care Clinic, Room Dental Dental Clinic Room. Experience: 8 yrs. Treats: ","+880 1717-887766","Alamdanga Health Care Clinic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","600 ৳","Dr. Md. Imran Hossain (Dental Surgeon & Implantologist) sits at Alamdanga Health Care Clinic (Room Dental Dental Clinic Room) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 600 BDT. Serial Call: +880 1717-887766"
"Doctor","Dr. A.K.M. Fazlul Haque (Consultant Cardiologist)","Specialist in Consultant Cardiologist (কার্ডিওলজি ও রক্তনালী বিভাগ). Degrees: MBBS, D-Card, MD (Cardiology). Chamber: Damurhuda Digital Hospital & Diagnostic, Room Chamber #101, Main Block. Experience: 15 yrs. Treats: ","+880 1711-665544","Damurhuda Digital Hospital & Diagnostic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","900 ৳","Dr. A.K.M. Fazlul Haque (Consultant Cardiologist) sits at Damurhuda Digital Hospital & Diagnostic (Room Chamber #101, Main Block) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 900 BDT. Serial Call: +880 1711-665544"
"Doctor","Dr. Sayeeda Sultana (Consultant Gynecologist & Obstetrician)","Specialist in Consultant Gynecologist & Obstetrician (স্ত্রী রোগ ও নারী স্বাস্থ্য বিভাগ). Degrees: MBBS, MS (Gynae & Obs). Chamber: Damurhuda Digital Hospital & Diagnostic, Room Chamber #102, Ground Floor. Experience: 11 yrs. Treats: ","+880 1812-554433","Damurhuda Digital Hospital & Diagnostic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Sayeeda Sultana (Consultant Gynecologist & Obstetrician) sits at Damurhuda Digital Hospital & Diagnostic (Room Chamber #102, Ground Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1812-554433"
"Doctor","Dr. Md. Tariq Hasan (Hormone & Diabetes Specialist)","Specialist in Hormone & Diabetes Specialist (ডায়াবেটিস ও হরমোন বিভাগ). Degrees: MBBS, MD (Endocrinology). Chamber: Damurhuda Digital Hospital & Diagnostic, Room Chamber #201, 2nd Floor. Experience: 12 yrs. Treats: ","+880 1913-443322","Damurhuda Digital Hospital & Diagnostic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","900 ৳","Dr. Md. Tariq Hasan (Hormone & Diabetes Specialist) sits at Damurhuda Digital Hospital & Diagnostic (Room Chamber #201, 2nd Floor) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 900 BDT. Serial Call: +880 1913-443322"
