"Doctor_Name","Specialization","Department_EN","Department_BN","Degrees","Experience_Years","Consultation_Fee_BDT","Hospital_Name","Hospital_Type","Chamber_Room","Contact_Phone","Available_Days_BN","Available_Days_EN","Visiting_Hours_Detailed","Languages","BMDC_Number","Bio","Treated_Diseases","District","Status"
"Dr. Mahbubur Rahman Chowdhury","Senior Consultant Cardiologist","Cardiology & Heart Care","কার্ডিওলজি ও হৃদরোগ বিভাগ","MBBS, FCPS (Cardiology), MD (Cardiology)","18","1200","Evercare Hospital Chuadanga","Super Specialty Hospital","Block A, 4th Floor, Suite 402","+880 1711-209841","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-45892","Dr. Mahbubur Rahman Chowdhury is a senior interventional cardiologist with over 18 years of specialized experience in coronary angioplasty, heart failure management, and acute cardiac care at Evercare Hospital Chuadanga.","","Chuadanga","ACTIVE"
"Dr. Md. Moniruzzaman","Consultant Urologist & Andrologist","Urology & Kidney Surgery","ইউরোলজি ও কিডনি সার্জারি বিভাগ","MBBS, MS (Urology)","15","1000","Chuadanga Medical Center","Private Hospital","Room #305, Urology Dept","+880 1812-667788","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-39801","Specialist in kidney stone laser removal (URSL/PCNL), prostate surgery (TURP), urinary tract infections, and male infertility treatment.","","Chuadanga","ACTIVE"
"Dr. Sheikh Asaduzzaman","Senior Gastroenterologist & Endoscopist","Gastroenterology & Liver","গ্যাস্ট্রোএন্টারোলজি ও লিভার বিভাগ","MBBS, MD (Gastroenterology)","16","1100","Chuadanga Specialized Hospital","Private Hospital","Suite #201, 2nd Floor","+880 1714-998877","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-44120","Specialist in endoscopy, colonoscopy, fatty liver disease, peptic ulcer, IBS, hepatitis management, and chronic abdominal discomfort.","","Chuadanga","ACTIVE"
"Dr. Afroza Begum","Child & Adolescent Specialist","Pediatrics & Child Health","শিশু রোগ বিভাগ","MBBS, FCPS (Pediatrics), DCH","12","800","Chuadanga Specialized Hospital","Private Hospital","Room #105, Child Care Unit","+880 1815-887766","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-51902","Extensive expertise in treating pediatric infections, jaundice, pneumonia, malnutrition, and pediatric growth development.","","Chuadanga","ACTIVE"
"Dr. Md. Zakir Hossain","Spine & Bone Joint Specialist","Orthopedics & Spine Surgery","অর্থোপেডিক্স ও স্পাইন বিভাগ","MBBS, MS (Ortho), Fellow Spine Surgery","15","1000","Chuadanga Specialized Hospital","Private Hospital","Chamber #302, 3rd Floor","+880 1711-776655","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-37890","Pioneer spine surgeon treating back pain, disc prolapse (PLID), spinal deformity, bone fracture trauma, and osteoarthritis.","","Chuadanga","ACTIVE"
"Dr. Rehana Chowdhury","Infertility & Gynae Specialist","Gynecology & Infertility","স্ত্রী রোগ ও বন্ধ্যাত্ব চিকিৎসা বিভাগ","MBBS, MS (Gynae), Fellow IVF","11","900","Chuadanga Specialized Hospital","Private Hospital","Room #102, Ground Floor","+880 1916-665544","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-49210","Specialist in PCOS care, hormonal imbalance, fertility treatment, ovulation induction, and comprehensive gynecological care.","","Chuadanga","ACTIVE"
"Dr. Md. Enamul Kabir","Pulmonologist & Chest Specialist","Respiratory & Chest Medicine","বক্ষব্যাধি ও অ্যাজমা বিভাগ","MBBS, DTCD, MD (Chest Medicine)","13","900","Chuadanga Specialized Hospital","Private Hospital","Room #204, 2nd Floor","+880 1718-554433","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-41098","Expert chest physician specializing in asthma, COPD, tuberculosis, chronic bronchitis, lung infections, and allergy immunotherapy.","","Chuadanga","ACTIVE"
"Dr. Shahriar Ahmed","Consultant Nephrologist","Nephrology & Kidney Care","নেফ্রোলজি ও কিডনি রোগ বিভাগ","MBBS, MD (Nephrology)","10","1000","Chuadanga Specialized Hospital","Private Hospital","Kidney Dialysis Unit, 4th Floor","+880 1819-443322","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-53412","Kidney specialist focused on acute kidney injury, chronic kidney disease (CKD), hemodialysis management, and diabetic nephropathy.","","Chuadanga","ACTIVE"
"Dr. Md. Motiur Rahman","Diabetologist & General Physician","General Medicine & Diabetes","মেডিসিন ও ডায়াবেটিস বিভাগ","MBBS, CCD (BIRDEM), PGT (Medicine)","14","700","Alamdanga Health Care Clinic","Clinic","Room #101, Outdoor Chamber","+880 1712-332211","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-35619","Trusted general medicine doctor serving Alamdanga for 14 years, specializing in diabetes control, hypertension, and family healthcare.","","Chuadanga","ACTIVE"
"Dr. Tahmina Akter","Maternal & Women Health Specialist","Gynecology & Maternal Care","স্ত্রী ও প্রসূতি সেবা বিভাগ","MBBS, DGO (Gynae)","10","700","Alamdanga Health Care Clinic","Clinic","Room #103, Maternity Block","+880 1813-221100","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-48901","Dedicated maternal health consultant providing safe delivery services, prenatal checkups, post-natal care, and gynecological advice.","","Chuadanga","ACTIVE"
"Dr. Md. Saiful Islam","Pediatrician & Child Health Specialist","Pediatrics & Child Care","শিশু স্বাস্থ্য বিভাগ","MBBS, DCH (Child Health)","9","700","Alamdanga Health Care Clinic","Clinic","Room #102, Child Outdoor","+880 1914-110099","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-52104","Child health specialist focused on pediatric cold, fever, diarrhea, vaccination schedules, and infant weight gain management.","","Chuadanga","ACTIVE"
"Dr. Golam Sarwar","Consultant General Surgeon","General Surgery","জেনারেল সার্জারি বিভাগ","MBBS, FCPS (Surgery)","12","800","Alamdanga Health Care Clinic","Clinic","Minor OT Room, 1st Floor","+880 1715-009988","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-39012","Experienced surgeon performing hydrocele, piles, fistula, cyst, wound debridement, and minor outpatient surgical procedures.","","Chuadanga","ACTIVE"
"Dr. Rumana Parvin","Physiotherapy & Pain Specialist","Physical Medicine & Pain Care","ফিজিকেল মেডিসিন ও পেইন কেয়ার বিভাগ","MBBS, FCPS (Physical Medicine)","11","800","Alamdanga Health Care Clinic","Clinic","Physiotherapy Unit, Ground Floor","+880 1816-998877","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-47120","Specialist in non-surgical pain management for neck pain, lumbar paralysis, frozen shoulder, stroke rehab, and joint stiffness.","","Chuadanga","ACTIVE"
"Dr. Md. Imran Hossain","Dental Surgeon & Implantologist","Dental Surgery & Oral Care","ডেন্টাল ও মুখরোগ বিভাগ","BDS, MS (Oral Surgery)","8","600","Alamdanga Health Care Clinic","Clinic","Dental Dental Clinic Room","+880 1717-887766","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","B-12904","Modern dental surgeon offering painless root canal treatment, dental scaling, teeth whitening, tooth extraction, and braces consultation.","","Chuadanga","ACTIVE"
"Dr. A.K.M. Fazlul Haque","Consultant Cardiologist","Cardiology & Vascular Care","কার্ডিওলজি ও রক্তনালী বিভাগ","MBBS, D-Card, MD (Cardiology)","15","900","Damurhuda Digital Hospital & Diagnostic","Diagnostic Center","Chamber #101, Main Block","+880 1711-665544","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-33410","Heart specialist serving Damurhuda and Darshana region, specializing in ECG interpretation, Echo, high blood pressure, and ischemic heart disease.","","Chuadanga","ACTIVE"
"Dr. Sayeeda Sultana","Consultant Gynecologist & Obstetrician","Gynecology & Women Health","স্ত্রী রোগ ও নারী স্বাস্থ্য বিভাগ","MBBS, MS (Gynae & Obs)","11","800","Damurhuda Digital Hospital & Diagnostic","Diagnostic Center","Chamber #102, Ground Floor","+880 1812-554433","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-46109","Expert in female reproductive health, pregnancy care, menstrual irregularities, ultrasound anomaly scans, and post-partum recovery.","","Chuadanga","ACTIVE"
"Dr. Md. Tariq Hasan","Hormone & Diabetes Specialist","Diabetes & Hormone Care","ডায়াবেটিস ও হরমোন বিভাগ","MBBS, MD (Endocrinology)","12","900","Damurhuda Digital Hospital & Diagnostic","Diagnostic Center","Chamber #201, 2nd Floor","+880 1913-443322","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-42901","Specialized endocrinologist providing treatment for Type 1 & Type 2 diabetes, thyroid disorders, obesity, and adrenal hormone issues.","","Chuadanga","ACTIVE"
"Dr. Nazma Akter","Child Specialist","Child Care & Pediatrics","শিশু রোগ বিভাগ","MBBS, DCH (Pediatrics)","9","700","Damurhuda Digital Hospital & Diagnostic","Diagnostic Center","Room #104, Pediatric Section","+880 1714-332211","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-54910","Attentive child health doctor specializing in infant nutrition, pediatric respiratory infections, viral fever, and childhood growth monitoring.","","Chuadanga","ACTIVE"
"Dr. Md. Babul Akhter","Bone & Joint Fracture Specialist","Orthopedic Surgery","অর্থোপেডিক্স ও হাড়জোড় বিভাগ","MBBS, D-Ortho","13","800","Damurhuda Digital Hospital & Diagnostic","Diagnostic Center","Room #203, Ortho Block","+880 1815-221100","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-38102","Orthopedic practitioner specializing in fracture plastering, dislocation reduction, joint pain relief, and orthopedic rehabilitation.","","Chuadanga","ACTIVE"
"Dr. Fahmida Rahman","Skin & Allergy Specialist","Skin & Allergy Care","চর্ম ও এলার্জি বিভাগ","MBBS, DDV (Dermatology)","10","700","Damurhuda Digital Hospital & Diagnostic","Diagnostic Center","Room #106, Outdoor Clinic","+880 1916-110099","শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার","Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday","Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","Bangla, English","A-50192","Dermatology consultant treating fungal skin infections, scabies, ringworm, psoriasis, facial acne, and food & dust allergies.","","Chuadanga","ACTIVE"
